CodiceISTAT,COMUNE
82001,Alia
82002,Alimena
82003,Aliminusa
82004,Altavilla Milicia
82005,Altofonte
82006,Bagheria
82007,Balestrate
82008,Baucina
82009,Belmonte Mezzagno
82010,Bisacquino
82082,Blufi
82011,Bolognetta
82012,Bompietro
82013,Borgetto
82014,Caccamo
82015,Caltavuturo
82016,Campofelice di Fitalia
82017,Campofelice di Roccella
82018,Campofiorito
82019,Camporeale
82020,Capaci
82021,Carini
82022,Castelbuono
82023,Casteldaccia
82024,Castellana Sicula
82025,Castronovo di Sicilia
82026,Cefalà Diana
82027,Cefaù
82028,Cerda
82029,Chiusa Sclafani
82030,Ciminna
82031,Cinisi
82032,Collesano
82033,Contessa Entellina
82034,Corleone
82035,Ficarazzi
82036,Gangi
82037,Geraci Siculo
82038,Giardinello
82039,Giuliana
82040,Godrano
82041,Gratteri
82042,Isnello
82043,Isola delle Femmine
82044,Lascari
82045,Lercara Friddi
82046,Marineo
82047,Mezzojuso
82048,Misilmeri
82049,Monreale
82050,Montelepre
82051,Montemaggiore Belsito
82052,Palazzo Adriano
82053,Palermo
82054,Partinico
82055,Petralia Soprana
82056,Petralia Sottana
82057,Piana degli Albanesi
82058,Polizzi Generosa
82059,Pollina
82060,Prizzi
82061,Roccamena
82062,Roccapalumba
82063,San Cipirello
82064,San Giuseppe Jato
82065,San Mauro Castelverde
82066,Santa Cristina Gela
82067,Santa Flavia
82068,Sciara
82081,Scillato
82069,Sclafani Bagni
82070,Termini Imerese
82071,Terrasini
82072,Torretta
82073,Trabia
82074,Trappeto
82075,Ustica
82076,Valledolmo
82077,Ventimiglia di Sicilia
82078,Vicari
82079,Villabate
82080,Villafrati
